"date","time","count","timezone"
"2023-08-27","00:46","550","UTC"
"2023-08-27","01:46","690","UTC"
"2023-08-27","02:46","725","UTC"
"2023-08-27","03:46","671","UTC"
"2023-08-27","04:46","732","UTC"
"2023-08-27","05:46","771","UTC"
"2023-08-27","06:46","752","UTC"
"2023-08-27","07:46","769","UTC"
"2023-08-27","08:46","703","UTC"
"2023-08-27","09:46","610","UTC"
"2023-08-27","10:46","592","UTC"
"2023-08-27","11:46","661","UTC"
"2023-08-27","12:46","738","UTC"
"2023-08-27","13:46","825","UTC"
"2023-08-27","14:46","1091","UTC"
"2023-08-27","15:46","1312","UTC"
"2023-08-27","16:46","1189","UTC"
"2023-08-27","17:46","878","UTC"
"2023-08-27","18:46","536","UTC"
"2023-08-27","19:46","325","UTC"
"2023-08-27","20:46","210","UTC"
"2023-08-27","21:46","166","UTC"
"2023-08-27","22:46","249","UTC"
"2023-08-27","23:46","403","UTC"
"2023-08-16","00:46","608","UTC"
"2023-08-16","01:46","675","UTC"
"2023-08-16","02:46","701","UTC"
"2023-08-16","03:46","726","UTC"
"2023-08-16","04:46","723","UTC"
"2023-08-16","05:46","727","UTC"
"2023-08-16","06:46","722","UTC"
"2023-08-16","07:46","760","UTC"
"2023-08-16","08:46","726","UTC"
"2023-08-16","09:46","698","UTC"
"2023-08-16","10:46","668","UTC"
"2023-08-16","11:46","709","UTC"
"2023-08-16","12:46","780","UTC"
"2023-08-16","13:46","905","UTC"
"2023-08-16","14:46","1176","UTC"
"2023-08-16","15:46","1345","UTC"
"2023-08-16","16:46","1236","UTC"
"2023-08-16","17:46","893","UTC"
"2023-08-16","18:46","593","UTC"
"2023-08-16","19:46","371","UTC"
"2023-08-16","20:46","263","UTC"
"2023-08-16","21:46","199","UTC"
"2023-08-16","22:46","295","UTC"
"2023-08-16","23:46","406","UTC"
"2023-09-15","00:23","197","UTC"
"2023-09-15","01:23","230","UTC"
"2023-09-15","02:23","235","UTC"
"2023-09-15","03:23","229","UTC"
"2023-09-15","04:23","256","UTC"
"2023-09-15","05:23","293","UTC"
"2023-09-15","06:23","214","UTC"
"2023-09-15","07:23","252","UTC"
"2023-09-15","08:23","251","UTC"
"2023-09-15","09:23","237","UTC"
"2023-09-15","10:23","217","UTC"
"2023-09-15","11:23","243","UTC"
"2023-09-15","12:23","266","UTC"
"2023-09-15","13:23","319","UTC"
"2023-09-15","14:23","402","UTC"
"2023-09-15","15:23","541","UTC"
"2023-09-15","16:23","657","UTC"
"2023-09-15","17:23","527","UTC"
"2023-09-15","18:23","356","UTC"
"2023-09-15","19:23","197","UTC"
"2023-09-15","20:23","126","UTC"
"2023-09-15","21:23","93","UTC"
"2023-09-15","22:23","112","UTC"
"2023-09-15","23:23","158","UTC"
"2023-09-11","00:23","209","UTC"
"2023-09-11","01:23","232","UTC"
"2023-09-11","02:23","239","UTC"
"2023-09-11","03:23","222","UTC"
"2023-09-11","04:23","273","UTC"
"2023-09-11","05:23","334","UTC"
"2023-09-11","06:23","277","UTC"
"2023-09-11","07:23","262","UTC"
"2023-09-11","08:23","226","UTC"
"2023-09-11","09:23","234","UTC"
"2023-09-11","10:23","224","UTC"
"2023-09-11","11:23","241","UTC"
"2023-09-11","12:23","287","UTC"
"2023-09-11","13:23","321","UTC"
"2023-09-11","14:23","426","UTC"
"2023-09-11","15:23","621","UTC"
"2023-09-11","16:23","634","UTC"
"2023-09-11","17:23","472","UTC"
"2023-09-11","18:23","264","UTC"
"2023-09-11","19:23","172","UTC"
"2023-09-11","20:23","118","UTC"
"2023-09-11","21:23","87","UTC"
"2023-09-11","22:23","93","UTC"
"2023-09-11","23:23","152","UTC"
"2023-09-08","00:46","254","UTC"
"2023-09-08","01:46","268","UTC"
"2023-09-08","02:46","266","UTC"
"2023-09-08","03:46","255","UTC"
